# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

LtnSmRMiddleTildeDep,uniF24F
LtnSmEStrk.sc,uni0247.sc
TnLtrNineSeg46.Lines,uniF1F4F1F6.Lines
GrCapEpsilonWDasia,uni1F19
LtnSmMDotAbv.LP,uni1E41.LP
VulgFracOneQuarter,onequarter
GrSmEpsilonWPsili,uni1F10
ModSmCapInvR,uni02B6
LtnSmZLineBlw.sc,uni1E95.sc
LtnCapODotAbv,uni022E
LtnSmACaron,uni01CE
LtnSmTnFive,uni01BD
LtnCapUAcute,Uacute
LtnSmARingAbvAcute.sc,aringacute.sc
LtnSmTzDigraph.sc,uniA729.sc
LtnSmECircumHookAbv.VN,uni1EC3.VN
LtnSmHv,uni0195
TnLtr1,uni02E9
LtnSmYDotAbv,uni1E8F
LtnCapECircumHookAbv,uni1EC2
LtnSmSchwa.sc,uni0259.sc
LtnSmABreveGrave.VN.LP,uni1EB1.VN.LP
LtnCapEgAin,uniA724
LtnSmOHornGrave,uni1EDD
CombPlusSgnBlw,uni031F
